Name,MAY,ZAP,TEO,TIW,WAR,MIS,MUI,TOL,NOR,CHM,PUE,ARA,TUP,PUR,INU,INC,AZT,HAU,SPA,POR,CHE,ENG,FRA,HOL,APA,LAK,HAW,RUS,AME,HAI,ARG,MEX,COL,PER,BRA,VEN,CSA,CAN,MIN,MIN,MIN,NAT,BAR
Culture,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,20,10,20,30
Unit Upkeep,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,100,100
Research Cost,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,80,80,80,80,80,80,80,80,80,125,125,500,125,110
Distance Maintenance,75,75,75,75,75,75,75,75,50,75,75,75,75,75,75,75,75,75,50,50,75,50,50,50,75,75,75,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,20
Colony Maintenance,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,80,80,100,80,80,80,100,100,100,80,80,80,80,80,80,80,80,80,80,80,100,100,100,100,20
Cities Maintenance,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,80,80,100,80,80,80,100,100,100,80,80,80,80,80,80,80,80,80,80,80,100,100,100,100,30
Civic Upkeep,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,85,85,85,100,100,100,85,70,70,70,70,70,70,70,70,70,70,100,100,100,100,70
Health,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
Unit Cost,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,90,100,90,90,90,100,100,100,90,80,80,80,80,80,80,80,80,80,80,300,300,300,150,140
Wonder Cost,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,150,100
Building Cost,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,90,100,90,90,90,100,100,100,90,80,80,80,80,80,80,80,80,80,80,100,100,150,150,100
Inflation Rate,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,85,85,85,100,100,100,85,70,70,70,70,70,70,70,70,70,70,95,95,95,95,95
Great People Threshold,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,100,100
Growth Threshold,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,125,125,500,125,125
